year,bigram,n
1999,creative performance,0
1999,interpersonal risk,4
1999,leader behavior,4
1999,learning behavior,86
1999,organizational learning,4
1999,psychological safety,108
1999,team learning,78
1999,team performance,31
1999,voice behavior,0
2002,creative performance,0
2002,interpersonal risk,6
2002,leader behavior,1
2002,learning behavior,9
2002,organizational learning,12
2002,psychological safety,89
2002,team learning,26
2002,team performance,2
2002,voice behavior,0
2003,creative performance,0
2003,interpersonal risk,7
2003,leader behavior,6
2003,learning behavior,14
2003,organizational learning,10
2003,psychological safety,251
2003,team learning,9
2003,team performance,5
2003,voice behavior,0
2004,creative performance,58
2004,interpersonal risk,0
2004,leader behavior,1
2004,learning behavior,0
2004,organizational learning,0
2004,psychological safety,0
2004,team learning,0
2004,team performance,0
2004,voice behavior,0
2006,creative performance,0
2006,interpersonal risk,1
2006,leader behavior,3
2006,learning behavior,5
2006,organizational learning,3
2006,psychological safety,129
2006,team learning,9
2006,team performance,0
2006,voice behavior,0
2011,creative performance,0
2011,interpersonal risk,0
2011,leader behavior,0
2011,learning behavior,1
2011,organizational learning,139
2011,psychological safety,62
2011,team learning,0
2011,team performance,0
2011,voice behavior,0
2014,creative performance,0
2014,interpersonal risk,2
2014,leader behavior,2
2014,learning behavior,3
2014,organizational learning,8
2014,psychological safety,281
2014,team learning,29
2014,team performance,26
2014,voice behavior,5
2016,creative performance,0
2016,interpersonal risk,1
2016,leader behavior,0
2016,learning behavior,1
2016,organizational learning,0
2016,psychological safety,72
2016,team learning,0
2016,team performance,0
2016,voice behavior,0
2017,creative performance,4
2017,interpersonal risk,14
2017,leader behavior,4
2017,learning behavior,21
2017,organizational learning,15
2017,psychological safety,1360
2017,team learning,39
2017,team performance,39
2017,voice behavior,15
2018,creative performance,0
2018,interpersonal risk,1
2018,leader behavior,0
2018,learning behavior,1
2018,organizational learning,0
2018,psychological safety,20
2018,team learning,0
2018,team performance,0
2018,voice behavior,0
2019,creative performance,3
2019,interpersonal risk,2
2019,leader behavior,2
2019,learning behavior,4
2019,organizational learning,0
2019,psychological safety,128
2019,team learning,2
2019,team performance,10
2019,voice behavior,0
2021,creative performance,0
2021,interpersonal risk,2
2021,leader behavior,0
2021,learning behavior,2
2021,organizational learning,0
2021,psychological safety,110
2021,team learning,1
2021,team performance,0
2021,voice behavior,0
2023,creative performance,3
2023,interpersonal risk,10
2023,leader behavior,1
2023,learning behavior,6
2023,organizational learning,1
2023,psychological safety,297
2023,team learning,6
2023,team performance,11
2023,voice behavior,1
2024,creative performance,0
2024,interpersonal risk,0
2024,leader behavior,0
2024,learning behavior,1
2024,organizational learning,0
2024,psychological safety,173
2024,team learning,1
2024,team performance,1
2024,voice behavior,0
